제품명,상품url,가격,할인가격,브랜드,조회수,누적판매,좋아요,이미지url,남성구매비율,여성구매비율,~18세,19세~23세,24세~28세,29세~33세,34세~39세,40세~
베이직 푸퍼_SPJPC4TC11,https://www.musinsa.com/app/goods/2037173,69900,62910,스파오,,,"65,017",//image.msscdn.net/images/goods_img/20210722/2037173/2037173_45_500.jpg?t=20221107142824,,,,,,,,
PERTEX® T Down Jacket Black,https://www.musinsa.com/app/goods/2814804,219000,197100,디스이즈네버댓,28.6만 회 이상,5.4천 개 이상,"11,253",//image.msscdn.net/images/goods_img/20220923/2814804/2814804_1_500.jpg?t=20220928140039,52%,48%,17%,31%,21%,10%,6%,15%
[구교환 착용] [무봉제]덕다운 심리스 미니멀 푸퍼 숏패딩_Black,https://www.musinsa.com/app/goods/1173366,143000,89900,라퍼지스토어,37.1만 회 이상,2.1만 개 이상,"39,030",//image.msscdn.net/images/goods_img/20191001/1173366/1173366_10_500.jpg?t=20221018101043,67%,33%,15%,28%,23%,13%,6%,15%
REVERSIBLE WARM UP QUILTING JACKET BLACK / IVORY,https://www.musinsa.com/app/goods/2835510,129000,103200,예일,33.1만 회 이상,8.3천 개 이상,"19,863",//image.msscdn.net/images/goods_img/20221004/2835510/2835510_11_500.jpg?t=20221024120938,59%,41%,9%,33%,31%,14%,4%,9%
(22FW) WARM+ UP QUILTING JACKET BLACK,https://www.musinsa.com/app/goods/2704962,99000,79200,예일,76.2만 회 이상,2.1만 개 이상,"31,020",//image.msscdn.net/images/goods_img/20220808/2704962/2704962_11_500.jpg?t=20221028171621,59%,41%,7%,27%,31%,17%,7%,11%
파스텔 푸퍼_SPJPC4TG01,https://www.musinsa.com/app/goods/2037167,69900,62910,스파오,43.2만 회 이상,2.4만 개 이상,"49,945",//image.msscdn.net/images/goods_img/20210722/2037167/2037167_37_500.jpg?t=20221107144749,9%,91%,15%,35%,21%,10%,6%,13%
RDS 커버라이트 카라리스 다운 점퍼 블랙,https://www.musinsa.com/app/goods/2081586,119000,83300,커버낫,27.6만 회 이상,1.1만 개 이상,"28,394",//image.msscdn.net/images/goods_img/20210823/2081586/2081586_2_500.jpg?t=20220908183417,54%,46%,11%,20%,23%,16%,8%,22%
NJ1DN75A 남성 1996 에코 눕시 자켓,https://www.musinsa.com/app/goods/2482269,339000,339000,노스페이스,32만 회 이상,3.1천 개 이상,"17,855",//image.msscdn.net/images/goods_img/20220412/2482269/2482269_1_500.jpg?t=20220412151526,55%,45%,15%,22%,26%,15%,6%,16%
다운 푸퍼 숏 패딩 재킷 [블랙],https://www.musinsa.com/app/goods/912314,119900,119900,무신사 스탠다드,14.3만 회 이상,5.4천 개 이상,"14,290",//image.msscdn.net/images/goods_img/20181123/912314/912314_6_500.jpg?t=20201102163153,78%,22%,21%,27%,20%,11%,4%,17%
덕다운 아르틱 후드 패딩_Black,https://www.musinsa.com/app/goods/2877785,173000,128000,라퍼지스토어,25.2만 회 이상,2.6천 개 이상,"11,402",//image.msscdn.net/images/goods_img/20221019/2877785/2877785_1_500.jpg?t=20221020201914,71%,29%,5%,33%,37%,14%,5%,6%
